Region ,District ,Sector ,Municipality,Order Date ,Description of the Violation,Order Amount of Environmental Penalty per Violation 
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste Marie,2023-04-03,"Violation of acute lethality test - Daphnia Magna under condition 10(1) of Environmental Compliance Approval No. 2163-7P4HTB, and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",9750.00
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste. Marie,2023-04-03,"Violation of acute lethality test - Daphnia Magna under condition 10(1) of Environmental Compliance Approval No. 2163-7P4HTB, and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.",9750.00
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste. Marie,2023-09-06,"Violation of acute lethality test -Daphnia magna under condition 10(1) of Environmental Compliance Approval No. 2162-7P4HTB, and of subsection 53(1) of the Ontario Water Resources 
Act, R.S.O. 1990, c. 0.40. ",9750.00
Northern,Sault Ste. Marie,Iron & Steel,Sault Ste. Marie,2023-09-06,"Violation of acute lethality test - Daphnia Magna under condition 10(1) of Environmental Compliance Approval No. 2162-7P4HTB, and of subsection 53(1) of the Ontario Water Resources 
Act, R.S.O. 1990, c. 0.40. ",9750.00
Northern,Timmins,Metal Mining,"South Porcupine, Timmins",2023-08-10,"Discharge of tailings water that failed the rainbow trout toxicity test and was considered toxic to the environment.  This discharge is a contravention of  s. 30(1) of the OWRA.

",32400.00
Northern,Timmins,Metal Mining,Township of Cochrane,2023-12-13,"Violation of the Total Suspended Solids (TSS) limit under condition 6 of Environmental Compliance Approval No. 2830-B2QH6A and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. ",9285.00
Northern,Timmins,Metal Mining,Township of Cochrane,2023-12-13,"Violation of the Total Suspended Solids (TSS) limit under condition 6 of Environmental Compliance Approval No. 2830-B2QH6A and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. ",9285.00
Southwest,Sarnia,Petroleum,Sarnia,2023-02-17,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",65000.00
West Central,Hamilton,Petroleum,Haldimand County,2023-07-21,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2023-07-21,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
West Central,Hamilton,Petroleum,Haldimand County,2023-07-21,"Total discharge is greater than 900 kg of sulphur dioxide in a 24-hour period from one or more pieces of acid gas combustion equipment at a petroleum facility, which is a violation of subsection 5(1) of O. Reg. 530/18: Air Pollution - Discharge of Sulphur Dioxide from Petroleum Facilities.",67000.00
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for  asenic under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. 
",945.00
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for  arsenic under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV, a violation of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. . 
",1955.80
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for phosphorus under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.
",2002.00
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for arsenic under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40..",4048.80
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for phosphorus under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.
",1148.00
Northern,Timmins,Industrial Minerals,Reeves Township,2023-11-21,"Violation of the monthly concentration limit for arsenic under Condition 6 of Environmental Compliance Approval No. 1850-BQ8JYV and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40. 
",3038.00
Southwest,Sarnia,Inorganic Chemical,St. Clair Township,2023-11-22,"Violation of the Dissolved Organic Carbon (DOC) limit under condition 5(1) of Environmental Compliance Approval No. 3074-CA6KLM and of subsection 53(1) of the Ontario Water Resources Act, R.S.O. 1990, c. O.40.
",1347.50
